Depth,Surface,SizeClass,Sex,Prey
Shallow,Intermediate,I,Unsexed,2
Shallow,Small,III,Males,3
Shallow,Small,III,Males,2
Shallow,Small,II,Males,2
Shallow,Small,II,Females,2
Shallow,Small,II,Females,1
Shallow,Small,II,Males,1
Shallow,Intermediate,II,Males,3
Shallow,Intermediate,I,Unsexed,1
Medium,Intermediate,II,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,II,Unsexed,2
Medium,Intermediate,III,Females,2
Medium,Intermediate,II,Unsexed,1
Medium,Intermediate,III,Females,1
Medium,Intermediate,III,Males,3
Shallow,Intermediate,II,Males,7
Shallow,Intermediate,II,Males,4
Shallow,Intermediate,II,Females,6
Shallow,Intermediate,II,Males,1
Medium,Small,II,Females,7
Medium,Small,II,Females,2
Medium,Intermediate,II,Females,3
Medium,Intermediate,I,Males,2
Medium,Intermediate,I,Unsexed,4
Medium,Intermediate,I,Unsexed,2
Medium,Intermediate,I,Unsexed,4
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Small,II,Unsexed,1
Medium,Intermediate,II,Males,1
Medium,Intermediate,II,Females,2
Medium,Intermediate,II,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,III,Unsexed,2
Medium,Intermediate,I,Unsexed,2
Medium,Intermediate,II,Unsexed,2
Medium,Intermediate,II,Unsexed,1
Medium,Intermediate,II,Unsexed,1
Shallow,Large,I,Unsexed,3
Shallow,Large,I,Males,1
Shallow,Large,I,Males,1
Shallow,Large,I,Unsexed,3
Shallow,Large,I,Unsexed,2
Shallow,Large,I,Unsexed,1
Shallow,Large,I,Unsexed,4
Shallow,Intermediate,I,Unsexed,1
Shallow,Intermediate,I,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,II,Unsexed,2
Medium,Intermediate,II,Unsexed,1
Medium,Intermediate,I,Unsexed,1
Medium,Intermediate,II,Females,2
Medium,Intermediate,II,Females,2
Shallow,Intermediate,I,Unsexed,3
Medium,Intermediate,II,Females,1
Medium,Intermediate,I,Unsexed,1
Shallow,Intermediate,I,Unsexed,1
Deep,Intermediate,I,Males,1
Medium,Intermediate,I,Unsexed,1
Deep,Small,I,Unsexed,5
Deep,Intermediate,II,Males,4
Deep,Intermediate,II,Females,1
Deep,Intermediate,II,Males,2
Medium,Small,I,Unsexed,2
Deep,Small,II,Males,2
Medium,Small,I,Unsexed,1
Deep,Intermediate,II,Unsexed,1
Deep,Intermediate,III,Females,1
Medium,Small,I,Unsexed,1
Medium,Small,II,Females,2
Medium,Small,I,Unsexed,1
ExtraDeep,Small,I,Unsexed,1
ExtraDeep,Small,II,Females,2
ExtraDeep,Small,II,Females,2
Medium,Small,II,Unsexed,3
Medium,Small,I,Unsexed,1
Medium,Small,II,Females,2
Deep,Small,I,Unsexed,2
Medium,Intermediate,I,Unsexed,3
Medium,Intermediate,I,Males,1
Medium,Small,I,Unsexed,1
Medium,Small,I,Unsexed,3
